Sector:7503 Valid_Adv:1631 Correlation:0.9968310365915517
Sector:8102 Valid_Adv:780 Correlation:0.9332522313492561
Sector:6103 Valid_Adv:2162 Correlation:0.930823764803667
Sector:5702 Valid_Adv:2020 Correlation:0.9276938313750618
Sector:8506 Valid_Adv:1140 Correlation:0.9255963762067272
Sector:7405 Valid_Adv:3044 Correlation:0.9252314021844646
Sector:7501 Valid_Adv:455 Correlation:0.9185792029922234
Sector:6704 Valid_Adv:1959 Correlation:0.9162786955668388
Sector:8002 Valid_Adv:2936 Correlation:0.9149092611820097
Sector:6002 Valid_Adv:84 Correlation:0.9145111964897412
Sector:7703 Valid_Adv:2173 Correlation:0.9140428412863254
Sector:7601 Valid_Adv:1144 Correlation:0.9130128901100004
Sector:7102 Valid_Adv:3340 Correlation:0.9069630694709051
Sector:5901 Valid_Adv:5780 Correlation:0.9068777697819552
Sector:7509 Valid_Adv:982 Correlation:0.904097687257389
Sector:6603 Valid_Adv:2207 Correlation:0.8995101932083002
Sector:6303 Valid_Adv:2507 Correlation:0.8989801508059085
Sector:7605 Valid_Adv:5492 Correlation:0.8937126555597679
Sector:5805 Valid_Adv:2918 Correlation:0.8934309423620624
Sector:7104 Valid_Adv:2787 Correlation:0.8934218905040762
Sector:6801 Valid_Adv:3043 Correlation:0.8932580807644593
Sector:5301 Valid_Adv:17 Correlation:0.8890937280097833
Sector:8001 Valid_Adv:1020 Correlation:0.8890657125911064
Sector:8501 Valid_Adv:958 Correlation:0.8884662746273776
Sector:5401 Valid_Adv:4675 Correlation:0.8857036165470864
Sector:6901 Valid_Adv:3580 Correlation:0.8787085602926549
Sector:5405 Valid_Adv:23 Correlation:0.8709985493527608
Sector:5905 Valid_Adv:18971 Correlation:0.8696868436126247
Sector:6201 Valid_Adv:1699 Correlation:0.867420178378988
Sector:7301 Valid_Adv:2065 Correlation:0.8656234687214285
Sector:6202 Valid_Adv:2684 Correlation:0.8650438874286104
Sector:7508 Valid_Adv:2214 Correlation:0.8638198016013453
Sector:5201 Valid_Adv:3210 Correlation:0.8631035078908831
Sector:6304 Valid_Adv:3239 Correlation:0.8603925592880249
Sector:5902 Valid_Adv:4330 Correlation:0.859636240729467
Sector:7706 Valid_Adv:1960 Correlation:0.8577151204989687
Sector:5501 Valid_Adv:1393 Correlation:0.8576410210518283
Sector:8508 Valid_Adv:226 Correlation:0.8566641412939628
Sector:6602 Valid_Adv:1413 Correlation:0.8559626397123733
Sector:6601 Valid_Adv:3890 Correlation:0.8542162190671865
Sector:7402 Valid_Adv:230 Correlation:0.8533518221346174
Sector:7804 Valid_Adv:2166 Correlation:0.8531124221697856
Sector:8504 Valid_Adv:2183 Correlation:0.8476977792415934
Sector:6412 Valid_Adv:1274 Correlation:0.8455611997534064
Sector:7404 Valid_Adv:3234 Correlation:0.8447534280525589
Sector:8206 Valid_Adv:1047 Correlation:0.8437143946365531
Sector:7701 Valid_Adv:2052 Correlation:0.8385376329199715
Sector:6409 Valid_Adv:5703 Correlation:0.8317189974399993
Sector:8302 Valid_Adv:1376 Correlation:0.8285658249844664
Sector:6418 Valid_Adv:4810 Correlation:0.8250404571100096
Sector:5903 Valid_Adv:262 Correlation:0.8246587783473431
Sector:7510 Valid_Adv:155 Correlation:0.8237998077947541
Sector:7507 Valid_Adv:2751 Correlation:0.822624571460851
Sector:7401 Valid_Adv:300 Correlation:0.8222686513785143
Sector:5701 Valid_Adv:1865 Correlation:0.8213587751035739
Sector:6301 Valid_Adv:2013 Correlation:0.8213300292581014
Sector:6407 Valid_Adv:1171 Correlation:0.8203569526111957
Sector:5106 Valid_Adv:435 Correlation:0.8191535455782505
Sector:5601 Valid_Adv:8092 Correlation:0.8134088399272649
Sector:6411 Valid_Adv:838 Correlation:0.812026619110074
Sector:8405 Valid_Adv:1935 Correlation:0.811537024620272
Sector:6403 Valid_Adv:5318 Correlation:0.8106491892567405
Sector:6415 Valid_Adv:835 Correlation:0.8100846874039926
Sector:6803 Valid_Adv:575 Correlation:0.8072200604303966
Sector:6417 Valid_Adv:3857 Correlation:0.8045459824726018
Sector:6709 Valid_Adv:1826 Correlation:0.8029575644423242
Sector:6504 Valid_Adv:1963 Correlation:0.8023389079668207
Sector:8510 Valid_Adv:267 Correlation:0.7999278032652787
Sector:6410 Valid_Adv:2422 Correlation:0.7987399919325667
Sector:7613 Valid_Adv:450 Correlation:0.7986622790428332
Sector:7609 Valid_Adv:4879 Correlation:0.7975433792778291
Sector:6406 Valid_Adv:1912 Correlation:0.7945051042813543
Sector:7610 Valid_Adv:674 Correlation:0.7901100525653045
Sector:7502 Valid_Adv:810 Correlation:0.7879769180968451
Sector:7901 Valid_Adv:1260 Correlation:0.7870553401119258
Sector:8207 Valid_Adv:1335 Correlation:0.786270183777779
Sector:6710 Valid_Adv:4 Correlation:0.784547784963297
Sector:5403 Valid_Adv:29 Correlation:0.783820754375258
Sector:6414 Valid_Adv:2349 Correlation:0.783235396730157
Sector:7604 Valid_Adv:1434 Correlation:0.7809631111831974
Sector:6408 Valid_Adv:1287 Correlation:0.7796309938688905
Sector:6419 Valid_Adv:2600 Correlation:0.7781534504755603
Sector:6421 Valid_Adv:509 Correlation:0.7778194677081103
Sector:7506 Valid_Adv:321 Correlation:0.7752947294200144
Sector:6305 Valid_Adv:1619 Correlation:0.7725380435190532
Sector:8401 Valid_Adv:3544 Correlation:0.7691895055886562
Sector:8202 Valid_Adv:5758 Correlation:0.766329960083736
Sector:5203 Valid_Adv:1589 Correlation:0.7662428598130897
Sector:6905 Valid_Adv:75 Correlation:0.7606666635906124
Sector:8201 Valid_Adv:4099 Correlation:0.7589147887407548
Sector:5802 Valid_Adv:2413 Correlation:0.7563310346729105
Sector:6903 Valid_Adv:760 Correlation:0.7509816375257494
Sector:6302 Valid_Adv:10604 Correlation:0.7506108508962417
Sector:6605 Valid_Adv:285 Correlation:0.750607247782718
Sector:7803 Valid_Adv:2067 Correlation:0.7457770377084717
Sector:7802 Valid_Adv:1288 Correlation:0.7399101195281298
Sector:7704 Valid_Adv:3003 Correlation:0.7381690314171527
Sector:6703 Valid_Adv:3178 Correlation:0.7368158599152717
Sector:6701 Valid_Adv:1319 Correlation:0.7367831972326713
Sector:5103 Valid_Adv:160 Correlation:0.7361116514526586
Sector:7406 Valid_Adv:5492 Correlation:0.7331573235181972
Sector:7403 Valid_Adv:553 Correlation:0.7319155445303992
Sector:8404 Valid_Adv:991 Correlation:0.7314159564344133
Sector:6706 Valid_Adv:2549 Correlation:0.7313062399433667
Sector:6413 Valid_Adv:2203 Correlation:0.7258262242451944
Sector:6422 Valid_Adv:2022 Correlation:0.7191100317333596
Sector:6424 Valid_Adv:1837 Correlation:0.716920270483481
Sector:7705 Valid_Adv:2834 Correlation:0.7138350171011969
Sector:8505 Valid_Adv:1171 Correlation:0.7126010902227531
Sector:7607 Valid_Adv:1733 Correlation:0.7120038224989494
Sector:5801 Valid_Adv:6064 Correlation:0.7112877537008432
Sector:8208 Valid_Adv:2403 Correlation:0.7083004931903047
Sector:6307 Valid_Adv:3959 Correlation:0.7062382898798446
Sector:8101 Valid_Adv:2724 Correlation:0.7023280888994318
Sector:5704 Valid_Adv:1197 Correlation:0.6990471874943891
Sector:6904 Valid_Adv:901 Correlation:0.6954764599010125
Sector:6306 Valid_Adv:180 Correlation:0.694265468729668
Sector:5804 Valid_Adv:3503 Correlation:0.6930303476627846
Sector:7702 Valid_Adv:3946 Correlation:0.6911439620012425
Sector:5105 Valid_Adv:2756 Correlation:0.6903978304976816
Sector:7505 Valid_Adv:432 Correlation:0.6903171019252388
Sector:7707 Valid_Adv:1595 Correlation:0.6865465017090978
Sector:7611 Valid_Adv:2002 Correlation:0.6847078757834129
Sector:6402 Valid_Adv:4500 Correlation:0.6841357665856278
Sector:7202 Valid_Adv:1854 Correlation:0.6821090621224564
Sector:7101 Valid_Adv:10967 Correlation:0.6808566278528858
Sector:8502 Valid_Adv:888 Correlation:0.6793195743909192
Sector:8204 Valid_Adv:12585 Correlation:0.6753747841600435
Sector:5404 Valid_Adv:163 Correlation:0.6714623328693774
Sector:6405 Valid_Adv:4170 Correlation:0.6706857996970679
Sector:6708 Valid_Adv:3126 Correlation:0.6631252585540959
Sector:7801 Valid_Adv:6507 Correlation:0.6625074658276381
Sector:6707 Valid_Adv:11609 Correlation:0.6611005924144278
Sector:7606 Valid_Adv:4376 Correlation:0.6556528265763317
Sector:6416 Valid_Adv:2840 Correlation:0.6537103881656776
Sector:5904 Valid_Adv:3956 Correlation:0.65228666672426
Sector:6404 Valid_Adv:1484 Correlation:0.6441437790818356
Sector:6401 Valid_Adv:7837 Correlation:0.6415324113108815
Sector:6423 Valid_Adv:7685 Correlation:0.6394572743310006
Sector:6702 Valid_Adv:3984 Correlation:0.6391009711856983
Sector:5104 Valid_Adv:5161 Correlation:0.6353822377733149
Sector:7001 Valid_Adv:6620 Correlation:0.6341866245190829
Sector:5603 Valid_Adv:136 Correlation:0.631986366160413
Sector:5202 Valid_Adv:2076 Correlation:0.6317918469840109
Sector:5806 Valid_Adv:8428 Correlation:0.6288257132171428
Sector:5803 Valid_Adv:2607 Correlation:0.6215068707910769
Sector:8402 Valid_Adv:3445 Correlation:0.6161597372723457
Sector:8205 Valid_Adv:3889 Correlation:0.6158659642482887
Sector:5101 Valid_Adv:221 Correlation:0.6061450876890255
Sector:5602 Valid_Adv:624 Correlation:0.5895408794318281
Sector:7708 Valid_Adv:6922 Correlation:0.5886212240901507
Sector:8303 Valid_Adv:956 Correlation:0.586017759328952
Sector:6802 Valid_Adv:3025 Correlation:0.5706130265879348
Sector:8203 Valid_Adv:8289 Correlation:0.545693239229389
Sector:7612 Valid_Adv:710 Correlation:0.5373993452870118
Sector:8406 Valid_Adv:1173 Correlation:0.535503511271122
Sector:7608 Valid_Adv:551 Correlation:0.5301516861306187
Sector:8301 Valid_Adv:76 Correlation:0.5240556125421946
Sector:6420 Valid_Adv:5691 Correlation:0.5091096242647967
Sector:8209 Valid_Adv:5051 Correlation:0.5071073659399236
